Date :2023-8-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor Style No,ALTR no.,Picture,Metal Kt / Color,Metal Rate $ P. Oz,Metal Wt. in Gm,Metal Rate in Gms,Metal Cost,Finding Cost,Stone Shape,Stone Qlty,Sieve /  MM,Stone Size,Stone wt. Total,Stone Rate,Stone Cost,Stone Pcs,Setting Type,Setting Rate,Setting Charges,Other Charges,Charges,,Details,Minimum Diam Wt,Cost,Price 1,Incr/Decr
P_129977,D2-XYZ,ZZE171-156GH-A ,,14KW,"$2,800",2,58.81,117.63,,RND,E VS2,2.7,,0.156,,0,2,prong,1,,CFP,16.5,,Semi / Comp,1.56,$155.25,,$0.04
,,,,,,,,,,Cushion,E VS2,3.50X3.27,,0.4,,0,2,prong,3.75,,J Back,,,Duty/Ship,,$10.87,,
,,,,,,,,,,MARQUISE,E VS2,5.20X2.74,,0.3,,0,2,prong,3.75,,Dia. Han.,0,,Total Imp. Cost,,$166.12,,
,,,,,,,,,,OVAL,E VS2,3.80X2.66,,0.22,,0,2,prong,3.75,,Miligrain,,,Center,,,,
,,,,,,,,,,MARQUISE,E VS2,6.20X3.26,,0.5,,0,2,prong,6.25,,Two Tone,,,Setting,,,,
,,,,,,,,,,,,,,,,,,,,,Solder,,,,,,,
,,,,,,,,,,,,,,,,,,,,,engraving,,,,,,,
,,,,,,,,,,,,,,,,,,,,,stamping,9,,,,,,
Main Category,,,,,,,,,,,,,,,,,,,,,Rhoudium,3.75,,,,,,
Sub Category,,,,,,,,,,,,,,,,,,,,,NF505-nickel free,8.35,,Total,1.56,$166,$0,
Collection,,,,,,,Total,117.63,0,,,,,1.576,,0,10,,,0,,37.6,,Net Margin,,,#DIV/0!,
